ICD9_CODE,LONG_TITLE,DEPTH
001-139,infectious and parasitic diseases ,1
001-009,intestinal infectious diseases ,2
001,cholera,3
001.9,"cholera, unspecified",4
001.1,due to vibrio cholerae el tor,4
001.0,due to vibrio cholerae,4
002,typhoid and paratyphoid fevers,3
002.9,"paratyphoid fever, unspecified",4
002.3,paratyphoid fever c,4
002.2,paratyphoid fever b,4
002.1,paratyphoid fever a,4
002.0,typhoid fever,4
003,other salmonella infections,3
003.9,"salmonella infection, unspecified",4
003.8,other specified salmonella infections,4
003.1,salmonella septicemia,4
003.0,salmonella gastroenteritis,4
003.2,localized salmonella infections,4
003.29,other,5
003.24,salmonella osteomyelitis,5
003.23,salmonella arthritis,5
003.22,salmonella pneumonia,5
003.21,salmonella meningitis,5
003.20,"localized salmonella infection, unspecified",5
004,shigellosis,3
004.9,"shigellosis, unspecified",4
004.8,other specified shigella infections,4
004.3,shigella sonnei,4
004.2,shigella boydii,4
004.1,shigella flexneri,4
004.0,shigella dysenteriae,4
005,other food poisoning (bacterial),3
005.9,"food poisoning, unspecified",4
005.4,food poisoning due to vibrio parahaemolyticus,4
005.3,food poisoning due to other clostridia,4
005.2,food poisoning due to clostridium perfringens [c. welchii],4
005.1,botulism food poisoning,4
005.0,staphylococcal food poisoning,4
005.8,other bacterial food poisoning,4
005.89,other bacterial food poisoning,5
005.81,food poisoning due to vibrio vulnificus,5
006,amebiasis,3
006.9,"amebiasis, unspecified",4
006.8,amebic infection of other sites,4
006.6,amebic skin ulceration,4
006.5,amebic brain abscess,4
006.4,amebic lung abscess,4
006.3,amebic liver abscess,4
006.2,amebic nondysenteric colitis,4
006.1,chronic intestinal amebiasis without mention of abscess,4
006.0,acute amebic dysentery without mention of abscess,4
007,other protozoal intestinal diseases,3
007.9,unspecified protozoal intestinal disease,4
007.8,other specified protozoal intestinal diseases,4
007.5,cyclosporiasis,4
007.4,cryptosporidiosis,4
007.3,intestinal trichomoniasis,4
007.2,coccidiosis,4
007.1,giardiasis,4
007.0,balantidiasis,4
008,intestinal infections due to other organisms,3
008.8,"other organism, not elsewhere classified",4
008.5,"bacterial enteritis, unspecified",4
008.3,proteus (mirabilis) (morganii),4
008.2,aerobacter aerogenes,4
008.1,arizona group of paracolon bacilli,4
008.0,escherichia coli [e. coli],4
008.09,other intestinal e. coli infections,5
008.04,enterohemorrhagic e. coli,5
008.03,enteroinvasive e. coli,5
008.02,enterotoxigenic e. coli,5
008.01,enteropathogenic e. coli,5
008.00,"e. coli, unspecified",5
008.4,other specified bacteria,4
008.49,other,5
008.47,other gram-negative bacteria,5
008.46,other anaerobes,5
008.45,clostridium difficile,5
008.44,yersinia enterocolitica,5
008.43,campylobacter,5
008.42,pseudomonas,5
008.41,staphylococcus,5
008.6,enteritis due to specified virus,4
008.69,other viral enteritis,5
008.67,enterovirus nec,5
008.66,astrovirus,5
008.65,calcivirus,5
008.64,other small round viruses [srv's],5
008.63,norwalk virus,5
008.62,adenovirus,5
008.61,rotavirus,5
009,ill-defined intestinal infections,3
009.3,diarrhea of presumed infectious origin,4
009.2,infectious diarrhea,4
009.1,"colitis, enteritis, and gastroenteritis of presumed infectious origin",4
009.0,"infectious colitis, enteritis, and gastroenteritis",4
010-018,tuberculosis ,2
010,primary tuberculous infection,3
010.9,"primary tuberculous infection, unspecified",4
010.8,other primary progressive tuberculosis,4
010.1,tuberculous pleurisy in primary progressive tuberculosis,4
010.0,primary tuberculous infection,4
011,pulmonary tuberculosis,3
011.9,"pulmonary tuberculosis, unspecified",4
011.8,other specified pulmonary tuberculosis,4
011.7,tuberculous pneumothorax,4
011.6,tuberculous pneumonia [any form],4
011.5,tuberculous bronchiectasis,4
011.4,tuberculous fibrosis of lung,4
011.3,tuberculosis of bronchus,4
011.2,tuberculosis of lung with cavitation,4
011.1,"tuberculosis of lung, nodular",4
011.0,"tuberculosis of lung, infiltrative",4
012,other respiratory tuberculosis,3
012.8,other specified respiratory tuberculosis,4
012.3,tuberculous laryngitis,4
012.2,isolated tracheal or bronchial tuberculosis,4
012.1,tuberculosis of intrathoracic lymph nodes,4
012.0,tuberculous pleurisy,4
013,tuberculosis of meninges and central nervous system,3
013.9,unspecified tuberculosis of central nervous system,4
013.8,other specified tuberculosis of central nervous system,4
013.6,tuberculous encephalitis or myelitis,4
013.5,tuberculous abscess of spinal cord,4
013.4,tuberculoma of spinal cord,4
013.3,tuberculous abscess of brain,4
013.2,tuberculoma of brain,4
013.1,tuberculoma of meninges,4
013.0,tuberculous meningitis,4
014,"tuberculosis of intestines, peritoneum, and mesenteric glands",3
014.8,other,4
014.0,tuberculous peritonitis,4
015,tuberculosis of bones and joints,3
015.9,tuberculosis of unspecified bones and joints,4
015.8,other specified joint,4
015.7,other specified bone,4
015.6,mastoid,4
015.5,limb bones,4
015.2,knee,4
015.1,hip,4
015.0,vertebral column,4
016,tuberculosis of genitourinary system,3
016.9,"genitourinary tuberculosis, unspecified",4
016.7,other female genital organs,4
016.6,tuberculous oophoritis and salpingitis,4
016.5,other male genital organs,4
016.4,epididymis,4
016.3,other urinary organs,4
016.2,ureter,4
016.1,bladder,4
016.0,kidney,4
017,tuberculosis of other organs,3
017.9,other specified organs,4
017.8,esophagus,4
017.7,spleen,4
017.6,adrenal glands,4
017.5,thyroid gland,4
017.4,ear,4
017.3,eye,4
017.2,peripheral lymph nodes,4
017.1,erythema nodosum with hypersensitivity reaction in tuberculosis,4
017.0,skin and subcutaneous cellular tissue,4
018,miliary tuberculosis,3
018.9,"miliary tuberculosis, unspecified",4
018.8,other specified miliary tuberculosis,4
018.0,acute miliary tuberculosis,4
020-027,zoonotic bacterial diseases ,2
025,melioidosis,3
024,glanders,3
020,plague,3
020.9,"plague, unspecified",4
020.8,other specified types of plague,4
020.5,"pneumonic, unspecified",4
020.4,secondary pneumonic,4
020.3,primary pneumonic,4
020.2,septicemic,4
020.1,cellulocutaneous,4
020.0,bubonic,4
021,tularemia,3
021.9,unspecified tularemia,4
021.8,other specified tularemia,4
021.3,oculoglandular tularemia,4
021.2,pulmonary tularemia,4
021.1,enteric tularemia,4
021.0,ulceroglandular tularemia,4
022,anthrax,3
022.9,"anthrax, unspecified",4
022.8,other specified manifestations of anthrax,4
022.3,anthrax septicemia,4
022.2,gastrointestinal anthrax,4
022.1,pulmonary anthrax,4
022.0,cutaneous anthrax,4
023,brucellosis,3
023.9,"brucellosis, unspecified",4
023.8,other brucellosis,4
023.3,brucella canis,4
023.2,brucella suis,4
023.1,brucella abortus,4
023.0,brucella melitensis,4
026,rat-bite fever,3
026.9,unspecified rat-bite fever,4
026.1,streptobacillary fever,4
026.0,spirillary fever,4
027,other zoonotic bacterial diseases,3
027.9,unspecified zoonotic bacterial disease,4
027.8,other specified zoonotic bacterial diseases,4
027.2,pasteurellosis,4
027.1,erysipelothrix infection,4
027.0,listeriosis,4
030-041,other bacterial diseases ,2
037,tetanus,3
035,erysipelas,3
030,leprosy,3
030.9,"leprosy, unspecified",4
030.8,other specified leprosy,4
030.3,borderline [group b],4
030.2,indeterminate [group i],4
030.1,tuberculoid [type t],4
030.0,lepromatous [type l],4
031,diseases due to other mycobacteria,3
031.9,unspecified diseases due to mycobacteria,4
031.8,other specified mycobacterial diseases,4
031.2,disseminated,4
031.1,cutaneous,4
031.0,pulmonary,4
032,diphtheria,3
032.9,"diphtheria, unspecified",4
032.3,laryngeal diphtheria,4
032.2,anterior nasal diphtheria,4
032.1,nasopharyngeal diphtheria,4
032.0,faucial diphtheria,4
032.8,other specified diphtheria,4
032.89,other,5
032.85,cutaneous diphtheria,5
032.84,diphtheritic cystitis,5
032.83,diphtheritic peritonitis,5
032.82,diphtheritic myocarditis,5
032.81,conjunctival diphtheria,5
033,whooping cough,3
033.9,"whooping cough, unspecified organism",4
033.8,whooping cough due to other specified organism,4
033.1,bordetella parapertussis [b. parapertussis],4
033.0,bordetella pertussis [b. pertussis],4
034,streptococcal sore throat and scarlet fever,3
034.1,scarlet fever,4
034.0,streptococcal sore throat,4
036,meningococcal infection,3
036.9,"meningococcal infection, unspecified",4
036.3,"waterhouse-friderichsen syndrome, meningococcal",4
036.2,meningococcemia,4
036.1,meningococcal encephalitis,4
036.0,meningococcal meningitis,4
036.4,meningococcal carditis,4
036.43,meningococcal myocarditis,5
036.42,meningococcal endocarditis,5
036.41,meningococcal pericarditis,5
036.40,"meningococcal carditis, unspecified",5
036.8,other specified meningococcal infections,4
036.89,other,5
036.82,meningococcal arthropathy,5
036.81,meningococcal optic neuritis,5
038,septicemia,3
038.9,unspecified septicemia,4
038.8,other specified septicemias,4
038.3,septicemia due to anaerobes,4
038.2,pneumococcal septicemia [streptococcus pneumoniae septicemia],4
038.0,streptococcal septicemia,4
038.1,staphylococcal septicemia,4
038.19,other staphylococcal septicemia,5
